hashtag,date,n
#covid19,2021-10-25T06,15.0
#covid19,2021-10-25T07,16.333333333333332
#covid19,2021-10-25T08,16.0
#covid19,2021-10-25T09,14.333333333333334
#covid19,2021-10-25T10,13.666666666666666
#covid19,2021-10-25T11,10.0
#covid19,2021-10-25T12,9.333333333333334
#covid19,2021-10-25T13,10.333333333333334
#covid19,2021-10-25T14,14.333333333333334
#covid19,2021-10-25T15,15.0
#covid19,2021-10-25T16,13.666666666666666
#covid19,2021-10-25T17,7.666666666666667
#covid19,2021-10-25T18,25.333333333333332
#covid19,2021-10-25T19,27.0
#covid19,2021-10-25T20,28.666666666666668
#covid19,2021-10-25T21,8.333333333333334
#covid19,2021-10-25T22,7.333333333333333
#covid19,2021-10-25T23,6.333333333333333
#covid19,2021-10-26T00,6.0
#covid19,2021-10-26T01,7.0
#covid19,2021-10-26T02,7.0
#covid19,2021-10-26T03,7.333333333333333
#covid19,2021-10-26T04,4.666666666666667
#covid19,2021-10-26T05,4.0
#covid19,2021-10-26T06,6.0
#covid19,2021-10-26T07,10.333333333333334
#covid19,2021-10-26T08,10.666666666666666
#covid19,2021-10-26T09,9.666666666666666
#covid19,2021-10-26T10,6.333333333333333
#covid19,2021-10-26T11,7.333333333333333
#covid19,2021-10-26T12,8.666666666666666
#covid19,2021-10-26T13,8.666666666666666
#covid19,2021-10-26T14,10.0
#covid19,2021-10-26T15,15.0
#covid19,2021-10-26T16,20.333333333333332
#covid19,2021-10-26T17,22.0
#covid19,2021-10-26T18,22.333333333333332
#covid19,2021-10-26T19,20.0
#covid19,2021-10-26T20,23.666666666666668
#covid19,2021-10-26T21,19.333333333333332
#covid19,2021-10-26T22,16.333333333333332
#covid19,2021-10-26T23,8.333333333333334
#covid19,2021-10-27T00,4.0
#covid19,2021-10-27T01,5.0
#covid19,2021-10-27T02,4.333333333333333
#covid19,2021-10-27T03,6.0
#covid19,2021-10-27T04,5.666666666666667
#covid19,2021-10-27T05,11.0
#covid19,2021-10-27T06,11.666666666666666
#covid19,2021-10-27T07,12.333333333333334
#covid19,2021-10-27T08,7.0
#covid19,2021-10-27T09,7.333333333333333
#covid19,2021-10-27T10,7.0
#covid19,2021-10-27T11,12.333333333333334
